Cluster ID,Company Names
362,"endurance technologies, endurance technologies, endurance technologies"
363,blinkit
364,ge
365,"jcb, jcb"
366,wockhardt
367,gvk emergency management and research institute
368,crom?
369,"barclays, barclays, barclays, barclays plc, barclays, barclays plc, barclays plc, barclays plc, barclays capital securities limited, barclays bank plc, barclays financial corporation, barclays private clients international ltd, barclays plc, barclays private clients international ltd"
370,"zomato, zomato, zomato, zomato"
371,"gabriel india, gabriel india"
372,css corp
373,lucas-tvs
374,"coromandel international, coromandel international"
375,"kalpataru power transmission, kalpataru power transmission, kalpataru power transmission ltd"
376,info edge
377,cadila pharmaceuticals
378,"saint-gobain, saint-gobain weber, saint-gobain abrasives, saint-gobain abrasives, saint-gobain, saint-gobain, saint-gobain, saint-gobain"
379,"coforge, coforge, coforge"
380,"sopra steria, sopra steria group sa, sopra steria, sopra steria group, sopra steria group sa, sopra steria limited"
381,"square yards, square yards, square yards"
382,"bureau veritas, bureau veritas, bureau veritas sa, bureau veritas sa, bureau veritas sa, bureau veritas certest srl, bureau veritas certest srl"
383,"power mech projects, power mech projects"
384,parle products
385,axa business services
386,"syngene international, syngene international, syngene international"
387,ba continuum
388,sigma electric manufacturing corporation
389,valuelabs
390,"rmsi, rms"
391,"yamaha motor, yamaha motors solutions, yamaha, yamaha corp, yamaha motor co ltd, yamaha motor, yamaha corp, yamaha motor co ltd, yamaha motor, yamaha corporation, yamaha motor manufacturing corporation of america"
392,adani wilmar
393,"hindustan aeronautics, hindustan aeronautics ltd, hindustan aeronautics limited"
394,renault nissan technology & business centre india
395,"idbi bank, idbi bank ltd, idbi bank"
396,karvy data management services
397,"aavas financiers, aavas financiers, aavas financiers limited"
398,oberoi group of hotels
399,msn laboratories
400,"metlife, metlife, metlife, metlife, inc., metlife, metlife inc, metlife"
401,hyatt regency
402,ninjacart
403,"dr lal pathlabs, dr lal pathlabs, dr. lal pathlabs"
404,"jet airways, jet airways, jetblue airways, jetblue airways corp, jetblue airways corporation"
405,piramal group
406,"cisco, cisco, cisco systems, cisco, cisco systems, cisco systems"
407,"s&p global, s&p global, s&p global, s&p global inc., s&p global, s&p global inc, s&p global, s p industries, inc., s&p global inc., s&p global market intelligence inc., s&p global market intelligence llc"
408,narayana health
409,"fujitsu, fujifilm, fuji electric, fujitsu, fuji, fujitsu, fujifilm, fujitsu, fujifilm holdings, fujikon industrial holdings ltd, fujifilm holdings corp, fujitsu ltd, fuji electric co ltd, fujitec co.,ltd., fuji media holdings, inc., fuji corp, fujitsu general ltd, fuji kyuko co. ltd, fuji oil holdings, inc., fujikura ltd, fuji soft, inc., fujimi, inc., fuji co. ltd, fuji seal international, inc., fujiya co. ltd, fujitsu, fujifilm holdings, fuji corp, fuji seal international inc, fujitec co ltd, fujisoft inc, fujitsu general ltd, fuji oil holdings inc, fuji oil co ltd, fuji media holdings inc, fujikura ltd, fuji electric co ltd, fujifilm holdings corp, fujitsu ltd, fujitsu, fujifilm holdings corporation, fuji electric, fujitsu general, fuji media holdings, fuji kyuko, fujitec, fuji oil holdings, fujimi, fuji soft, fujikura, fuji seal international"
410,"sap, sap, sap, sap, sap, sap se, sap se, sap se"
411,tata play
412,cms infosystems
413,canara hsbc life insurance
414,"metro, metro, metrofile holdings ltd, metro holdings ltd, metro inc., metro, metro s.a., metro, metro inc, metro inc"
415,"sify technologies, sify technologies limited"
416,"vardhman fabrics, vardhman textiles ltd, vardhman textiles"
417,taj hotels resorts and palaces
418,akums drugs & pharmaceuticals
419,aragen life sciences
420,here technologies
421,foxconn
422,"aecom, aecom, aecom, aecom technology, aecom, aecom, aecom limited, aecom limited"
423,"jubilant foods works, jubilant foodworks, jubilant foodworks, jubilant foodworks"
424,"vedantu, vedanta resources, vedanta limited, vedanta limited, vedantu, vedanta limited, vedanta limited, vedanta resources ltd, vedanta ltd, vedanta"
425,"honeywell automation, honeywell automation india"
426,care health insurance
427,"g r infraprojects, r.s. infraprojects, p&r infraprojects, g r infraprojects limited"
428,"sgs, sgs, sgs sa, sgs, nos sgps sa, sonae sgps sa, sgs sa, sonae, sgps, s.a."
429,"wabco, wabco india, wabco india"
